,ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_FECHANACIMIENTO,ESTU_CONSECUTIVO,ESTU_PAIS_RESIDE,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_NUMLIBROS,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_CODIGO_ICFES,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,ESTU_PRIVADO_LIBERTAD,PUNT_LECTURA_CRITICA,PERCENTIL_LECTURA_CRITICA,DESEMP_LECTURA_CRITICA,PUNT_MATEMATICAS,PERCENTIL_MATEMATICAS,DESEMP_MATEMATICAS,PUNT_C_NATURALES,PERCENTIL_C_NATURALES,DESEMP_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PERCENTIL_SOCIALES_CIUDADANAS,DESEMP_SOCIALES_CIUDADANAS,PUNT_INGLES,PERCENTIL_INGLES,DESEMP_INGLES,PUNT_GLOBAL,PERCENTIL_GLOBAL,ESTU_NSE_ESTABLECIMIENTO,ESTU_INSE_INDIVIDUAL,ESTU_NSE_INDIVIDUAL,ESTU_ESTADOINVESTIGACION,ESTU_GENERACION.E
9,TI,COLOMBIA,M,26/06/2001,SB11201820089757,COLOMBIA,No,Estrato 2,5 a 6,No,Si,No,0 A 10 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,174656,INSTITUCION EDUCATIVA PATIO BONITO,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA PATIO BONITO - SEDE PRINCIPAL,S,RURAL,COMPLETA,17444,MARQUETALIA,N,50,42,2,63,86,3,57,74,3,48,53,2,59,80,A2,274,68,1,40.68726653,NSE1,PUBLICAR,NO
79,TI,COLOMBIA,F,23/08/2000,SB11201820570270,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,Si,26 A 100 LIBROS,Entre 1 y 2 horas,Entre 1 y 3 horas,6874,INSTITUCION EDUCATIVA SUPIA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUTO NOCTURNO SUPIA,N,URBANO,NOCHE,17777,SUPÍA,N,63,85,3,57,70,3,62,88,3,64,90,3,53,62,A1,304,84,2,55.62707098,NSE3,PUBLICAR,NO
303,TI,COLOMBIA,M,14/05/2002,SB11201820216529,COLOMBIA,No,Estrato 1,3 a 4,Si,Si,No,11 A 25 LIBROS,Entre 1 y 2 horas,Entre 30 y 60 minutos,38687,INSTITUCIÓN EDUCATIVA LEONARDO DA VINCI,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA LEONARDO DA VINCI,S,URBANO,TARDE,17001,MANIZALES,N,58,70,3,61,80,3,64,90,3,40,29,1,69,93,B1,284,74,3,45.27606043,NSE2,PUBLICAR,NO
891,CC,COLOMBIA,M,27/03/1998,SB11201820235500,COLOMBIA,No,Estrato 5,3 a 4,Si,Si,Si,0 A 10 LIBROS,Entre 1 y 2 horas,30 minutos o menos,5942,COL. MAYOR DE NTRA SEÑORA,MASCULINO,NO OFICIAL,A,N,ACADÉMICO,COL. MAYOR DE NTRA SEÑORA,S,URBANO,COMPLETA,17001,MANIZALES,N,60,76,3,49,47,2,56,73,3,52,63,2,44,30,A-,267,64,3,56.62217349,NSE3,PUBLICAR,NO
924,TI,COLOMBIA,F,22/11/2000,SB11201820153205,COLOMBIA,Si,-,9 o más,-,-,No,-,-,-,6767,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR SAGRADO CORAZON,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR SAGRADO CORAZON - SEDE PRINCIPAL,S,URBANO,COMPLETA,17614,RIOSUCIO,N,47,32,2,43,28,2,38,14,1,47,48,2,48,46,A1,220,30,2,32.51840119,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
933,TI,COLOMBIA,F,05/04/2000,SB11201820585470,COLOMBIA,No,Estrato 1,7 a 8,No,No,No,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,131847,INSTITUCION EDUCATIVA CAÑAVERAL,MIXTO,OFICIAL,A,-,ACADÉMICO,INSTITUCION EDUCATIVA CAÑAVERAL - SEDE PRINCIPAL,S,RURAL,COMPLETA,17867,VICTORIA,N,53,53,3,51,53,3,37,11,1,44,42,2,50,53,A1,233,39,1,38.75906504,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
1019,TI,COLOMBIA,M,07/09/2000,SB11201820047703,COLOMBIA,No,Estrato 2,5 a 6,Si,Si,Si,-,No leo por entretenimiento,30 minutos o menos,225557,INSTITUCION EDUCATIVA INEM BALDOMERO SANIN CANO,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA INEM BALDOMERO SANIN CANO,S,URBANO,UNICA,17001,MANIZALES,N,50,42,2,41,23,2,39,16,1,43,37,2,40,19,A-,215,27,2,52.02720146,NSE3,PUBLICAR,NO
1192,TI,COLOMBIA,M,14/12/2000,SB11201820187328,COLOMBIA,Si,Estrato 2,5 a 6,No,No,No,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,157925,INSTITUCION EDUCATIVA BONAFONT,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA BONAFONT - SEDE PRINCIPAL,S,RURAL,SABATINA,17614,RIOSUCIO,N,49,36,2,55,64,3,43,28,2,53,67,2,47,40,A-,249,51,2,43.1345036,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
1292,TI,COLOMBIA,M,20/11/2001,SB11201820176341,COLOMBIA,No,Estrato 2,7 a 8,Si,Si,Si,26 A 100 LIBROS,30 minutos o menos,Más de 3 horas,225482,INSTITUCIÓN  EDUCATIVA ISABEL LA CATOLICA,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA ISABEL LA CATOLICA,S,URBANO,UNICA,17001,MANIZALES,N,61,80,3,61,80,3,65,92,3,62,87,3,58,75,A2,310,87,2,60.04836297,NSE3,PUBLICAR,NO
1314,CC,COLOMBIA,M,28/08/1999,SB11201820570742,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,Si,0 A 10 LIBROS,No leo por entretenimiento,30 minutos o menos,29306,INSTITUCION EDUCATIVA PIO XII,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA PIO XII - SEDE PRINCIPAL,S,RURAL,COMPLETA,17662,SAMANÁ,N,46,27,2,41,23,2,52,62,2,52,62,2,42,23,A-,237,42,2,51.03922764,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
